"id","number","date","final_price","client_id"
"1","00100","2023-04-19","3760.0","2"
"2","00101","2023-04-19","3760.0","2"
"3","00102","2023-04-22","999.0","1"
"4","00103","2023-04-22","999.0","2"
"5","00104","2023-04-22","999.0","2"
"6","00105","2023-04-22","999.0","2"
"7","00106","2023-04-22","999.0","2"
"8","00107","2023-04-22","999.0","2"
"9","00108","2023-04-22","999.0","2"
"10","00109","2023-04-22","999.0","2"
"11","00110","2023-04-22","999.0","2"
"12","00113","2023-04-22","999.0","2"
"13","00118","2023-04-22","999.0","2"
"14","00119","2023-04-22","999.0","2"
